run_id,map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_rerun,dao,arena,49x49,0.1445,6,"40,9","41,7",2.414214,improved_ours,True,2.236068,0,3,0.0838,True
exp_v1_rerun,dao,arena,49x49,0.1445,6,"40,9","41,7",2.414214,ablation_no_adapt,True,2.236068,0,3,0.0288,True
exp_v1_rerun,dao,arena,49x49,0.1445,6,"40,9","41,7",2.414214,ablation_no_smooth,True,2.414214,1,3,0.0905,True
exp_v1_rerun,dao,arena,49x49,0.1445,7,"6,12","4,15",3.828427,dijkstra,True,3.828427,1,41,0.2698,True
exp_v1_rerun,dao,arena,49x49,0.1445,7,"6,12","4,15",3.828427,astar_euclidean,True,3.828427,2,4,0.0317,True
exp_v1_rerun,dao,arena,49x49,0.1445,7,"6,12","4,15",3.828427,astar_octile,True,3.828427,2,4,0.0378,True
exp_v1_rerun,dao,arena,49x49,0.1445,7,"6,12","4,15",3.828427,weighted_1.2,True,3.828427,1,4,0.0379,True
exp_v1_rerun,dao,arena,49x49,0.1445,7,"6,12","4,15",3.828427,improved_ours,True,3.605551,0,4,0.0710,True
exp_v1_rerun,dao,arena,49x49,0.1445,7,"6,12","4,15",3.828427,ablation_no_adapt,True,3.605551,0,4,0.0380,True
exp_v1_rerun,dao,arena,49x49,0.1445,7,"6,12","4,15",3.828427,ablation_no_smooth,True,3.828427,1,4,0.0708,True
exp_v1_rerun,dao,arena,49x49,0.1445,8,"30,47","28,44",3.828427,dijkstra,True,3.828427,1,20,0.1144,True
exp_v1_rerun,dao,arena,49x49,0.1445,8,"30,47","28,44",3.828427,astar_euclidean,True,3.828427,2,4,0.0267,True
exp_v1_rerun,dao,arena,49x49,0.1445,8,"30,47","28,44",3.828427,astar_octile,True,3.828427,2,4,0.0653,True
exp_v1_rerun,dao,arena,49x49,0.1445,8,"30,47","28,44",3.828427,weighted_1.2,True,3.828427,1,4,0.0316,True
exp_v1_rerun,dao,arena,49x49,0.1445,8,"30,47","28,44",3.828427,improved_ours,True,3.605551,0,4,0.0565,True
exp_v1_rerun,dao,arena,49x49,0.1445,8,"30,47","28,44",3.828427,ablation_no_adapt,True,3.605551,0,4,0.0503,True
exp_v1_rerun,dao,arena,49x49,0.1445,8,"30,47","28,44",3.828427,ablation_no_smooth,True,3.828427,1,4,0.0644,True
exp_v1_rerun,dao,arena,49x49,0.1445,9,"46,45","43,44",3.414214,dijkstra,True,3.414214,1,22,0.1311,True
exp_v1_rerun,dao,arena,49x49,0.1445,9,"46,45","43,44",3.414214,astar_euclidean,True,3.414214,2,4,0.0343,True
exp_v1_rerun,dao,arena,49x49,0.1445,9,"46,45","43,44",3.414214,astar_octile,True,3.414214,1,4,0.0368,True
exp_v1_rerun,dao,arena,49x49,0.1445,9,"46,45","43,44",3.414214,weighted_1.2,True,3.414214,1,4,0.0350,True
exp_v1_rerun,dao,arena,49x49,0.1445,9,"46,45","43,44",3.414214,improved_ours,True,3.162278,0,4,0.0644,True
exp_v1_rerun,dao,arena,49x49,0.1445,9,"46,45","43,44",3.414214,ablation_no_adapt,True,3.162278,0,4,0.0369,True
exp_v1_rerun,dao,arena,49x49,0.1445,9,"46,45","43,44",3.414214,ablation_no_smooth,True,3.414214,1,4,0.0647,True
exp_v1_rerun,dao,arena,49x49,0.1445,10,"18,20","16,25",5.828427,dijkstra,True,5.828427,1,81,0.5132,True
exp_v1_rerun,dao,arena,49x49,0.1445,10,"18,20","16,25",5.828427,astar_euclidean,True,5.828427,4,10,0.0830,True
exp_v1_rerun,dao,arena,49x49,0.1445,10,"18,20","16,25",5.828427,astar_octile,True,5.828427,1,6,0.0591,True
exp_v1_rerun,dao,arena,49x49,0.1445,10,"18,20","16,25",5.828427,weighted_1.2,True,5.828427,1,6,0.0563,True
exp_v1_rerun,dao,arena,49x49,0.1445,10,"18,20","16,25",5.828427,improved_ours,True,5.385165,0,6,0.0991,True
exp_v1_rerun,dao,arena,49x49,0.1445,10,"18,20","16,25",5.828427,ablation_no_adapt,True,5.385165,0,6,0.0582,True
exp_v1_rerun,dao,arena,49x49,0.1445,10,"18,20","16,25",5.828427,ablation_no_smooth,True,5.828427,1,6,0.0980,True
exp_v1_rerun,dao,arena,49x49,0.1445,11,"28,25","30,21",4.828427,dijkstra,True,4.828427,1,66,0.4114,True
exp_v1_rerun,dao,arena,49x49,0.1445,11,"28,25","30,21",4.828427,astar_euclidean,True,4.828427,2,7,0.0745,True
exp_v1_rerun,dao,arena,49x49,0.1445,11,"28,25","30,21",4.828427,astar_octile,True,4.828427,1,7,0.0702,True
