algorithm,path_length,turn_count,expanded,search_ms,total_ms
ablation_no_adapt,181.227941,4.8900,4682.21,39.4256,42.4678
ablation_no_smooth,196.848210,31.1967,2127.68,26.6284,26.6284
astar_euclidean,189.362603,29.1933,6267.29,46.0613,46.0613
astar_octile,189.362603,13.7967,4682.21,39.4728,39.4728
dijkstra,189.362603,11.3400,44545.57,304.5632,304.5632
improved_ours,182.089905,6.9133,2127.68,26.6114,29.5917
weighted_1.2,192.051397,21.5967,2431.81,20.8053,20.8053
