run_id,map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,timeout,path_length,turn_count,expanded_nodes,preprocess_ms,search_ms,postprocess_ms,total_ms,capped_total_ms,collision_free
beta_tuning,dao,brc503d,257x320,0.1810,4,"250,196","131,71",189.521861,ablation_no_smooth,True,False,195.279221,40,407,0.0000,4.3932,0.0000,4.3932,4.3932,True
beta_tuning,dao,brc503d,257x320,0.1810,5,"17,197","177,220",190.095454,dijkstra,True,False,190.095454,28,31626,0.0000,202.0912,0.0000,202.0912,202.0912,True
beta_tuning,dao,brc503d,257x320,0.1810,5,"17,197","177,220",190.095454,astar_euclidean,True,False,190.095454,29,5132,0.0000,34.1478,0.0000,34.1478,34.1478,True
beta_tuning,dao,brc503d,257x320,0.1810,5,"17,197","177,220",190.095454,astar_octile,True,False,190.095454,21,3795,0.0000,25.6257,0.0000,25.6257,25.6257,True
beta_tuning,dao,brc503d,257x320,0.1810,5,"17,197","177,220",190.095454,weighted_1.2,True,False,195.066017,58,2069,0.0000,23.4504,0.0000,23.4504,23.4504,True
beta_tuning,dao,brc503d,257x320,0.1810,5,"17,197","177,220",190.095454,improved_ours,True,False,181.405017,11,1695,0.0000,19.1209,1.0246,20.1455,20.1455,True
beta_tuning,dao,brc503d,257x320,0.1810,5,"17,197","177,220",190.095454,ablation_no_adapt,True,False,179.730426,7,3795,0.0000,25.1632,1.5729,26.7361,26.7361,True
beta_tuning,dao,brc503d,257x320,0.1810,5,"17,197","177,220",190.095454,ablation_no_smooth,True,False,196.539105,43,1695,0.0000,18.4783,0.0000,18.4783,18.4783,True
beta_tuning,dao,brc503d,257x320,0.1810,6,"188,21","28,92",190.580736,dijkstra,True,False,190.580736,17,26838,0.0000,170.0418,0.0000,170.0418,170.0418,True
beta_tuning,dao,brc503d,257x320,0.1810,6,"188,21","28,92",190.580736,astar_euclidean,True,False,190.580736,29,6008,0.0000,40.5694,0.0000,40.5694,40.5694,True
beta_tuning,dao,brc503d,257x320,0.1810,6,"188,21","28,92",190.580736,astar_octile,True,False,190.580736,15,4155,0.0000,39.7484,0.0000,39.7484,39.7484,True
