algorithm,path_length,turn_count,expanded,search_ms,total_ms
ablation_no_adapt,299.529180,8.7267,13331.33,113.2230,119.0787
ablation_no_smooth,328.410833,57.8667,6550.18,80.5159,80.5159
astar_euclidean,312.944693,51.1200,17018.83,126.3108,126.3108
astar_octile,312.944693,22.4867,13331.33,113.4320,113.4320
dijkstra,312.944693,19.6233,81567.86,559.2067,559.2067
improved_ours,301.764683,12.0633,6550.18,80.6656,86.0368
weighted_1.2,318.533432,37.5200,7170.94,60.4892,60.4892
