map_name,algorithm,n,path_length_mean,path_length_std,turn_count_mean,turn_count_std,expanded_mean,expanded_std,runtime_mean,runtime_std,success_rate,collision_free_rate
Berlin_0_1024,ablation_no_adapt,50,9.771281859999998,5.584089019237712,0.0,0.0,21.52,22.66913319913225,0.21755200000000005,0.25616301156880555,1.0,1.0
Berlin_0_1024,ablation_no_smooth,50,10.32288462,6.000321133379355,0.74,0.4386342439892262,9.84,5.307956292208895,0.187744,0.10432555997453358,1.0,1.0
Berlin_0_1024,astar_euclidean,50,10.32288462,6.000321133379355,3.54,3.8011051024669134,29.12,29.25586436938755,0.23749799999999996,0.22268172308476508,1.0,1.0
Berlin_0_1024,astar_octile,50,10.32288462,6.000321133379355,1.48,1.345213737664019,21.52,22.66913319913225,0.20129000000000002,0.19963631458229236,1.0,1.0
Berlin_0_1024,dijkstra,50,10.32288462,6.000321133379355,1.5,1.284523257866513,397.6,361.1851048977519,3.022208,3.0270594764450864,1.0,1.0
Berlin_0_1024,improved_ours,50,9.771281859999998,5.584089019237712,0.0,0.0,9.84,5.307956292208895,0.19598600000000002,0.1015583733820112,1.0,1.0
Berlin_0_1024,weighted_1.2,50,10.32288462,6.000321133379355,0.74,0.4386342439892262,9.84,5.307956292208895,0.10318600000000001,0.061995696657106775,1.0,1.0
Berlin_0_256,ablation_no_adapt,50,9.55362328,5.180734778950615,0.04,0.19595917942265428,15.98,14.931162044529554,0.15027200000000002,0.13138854141819217,1.0,1.0
Berlin_0_256,ablation_no_smooth,50,10.03009248,5.405428558400994,0.92,0.6584831053261732,9.98,5.00995009955189,0.16650600000000002,0.0844109718223881,1.0,1.0
Berlin_0_256,astar_euclidean,50,10.01352394,5.387600903188243,2.5,2.137755832643195,21.08,19.050291336354938,0.171124,0.14895594054618969,1.0,1.0
Berlin_0_256,astar_octile,50,10.01352394,5.387600903188243,1.48,1.252836781069266,15.98,14.931162044529554,0.15048,0.13316212975166777,1.0,1.0
Berlin_0_256,dijkstra,50,10.01352394,5.387600903188243,1.28,0.9806120537705009,330.04,297.2739450405972,2.321636,2.3692244042943678,1.0,1.0
Berlin_0_256,improved_ours,50,9.55362328,5.180734778950615,0.04,0.19595917942265428,9.98,5.00995009955189,0.17872800000000003,0.08912481818214274,1.0,1.0
Berlin_0_256,weighted_1.2,50,10.03009248,5.405428558400994,0.9,0.6403124237432849,9.94,4.945341242017582,0.096938,0.05225321383417483,1.0,1.0
Berlin_0_512,ablation_no_adapt,50,9.50456754,5.5482607343376795,0.0,0.0,20.4,20.91889098398861,0.191432,0.17757197238303124,1.0,1.0
Berlin_0_512,ablation_no_smooth,50,10.016021700000001,5.87802679699536,0.8,0.4,9.58,5.196498821321909,0.31931400000000004,1.0253858666882434,1.0,1.0
Berlin_0_512,astar_euclidean,50,10.016021700000001,5.87802679699536,3.34,3.5418074481823543,26.26,26.50344128599152,0.21008600000000002,0.19831976907005514,1.0,1.0
Berlin_0_512,astar_octile,50,10.016021700000001,5.87802679699536,1.46,1.3146862743635837,20.4,20.91889098398861,0.188214,0.17832482946578135,1.0,1.0
Berlin_0_512,dijkstra,50,10.016021700000001,5.87802679699536,1.34,1.050904372433572,353.72,336.89019219917935,2.504206,2.5532769975394367,1.0,1.0
Berlin_0_512,improved_ours,50,9.50456754,5.5482607343376795,0.0,0.0,9.58,5.196498821321909,0.17957599999999999,0.09387516297722204,1.0,1.0
