run_id,map_type,map_name,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1,dao,arena,0.1445,7,"6,12","4,15",3.828427,improved_ours,True,3.605551,0,4,0.0710,True
exp_v1,dao,arena,0.1445,7,"6,12","4,15",3.828427,ablation_no_adapt,True,3.605551,0,4,0.0611,True
exp_v1,dao,arena,0.1445,7,"6,12","4,15",3.828427,ablation_no_smooth,True,3.828427,1,4,0.0710,True
exp_v1,dao,arena,0.1445,8,"30,47","28,44",3.828427,dijkstra,True,3.828427,1,20,0.1195,True
exp_v1,dao,arena,0.1445,8,"30,47","28,44",3.828427,astar_euclidean,True,3.828427,2,4,0.0268,True
exp_v1,dao,arena,0.1445,8,"30,47","28,44",3.828427,astar_octile,True,3.828427,2,4,0.0308,True
exp_v1,dao,arena,0.1445,8,"30,47","28,44",3.828427,weighted_1.2,True,3.828427,1,4,0.0306,True
exp_v1,dao,arena,0.1445,8,"30,47","28,44",3.828427,improved_ours,True,3.605551,0,4,0.0556,True
exp_v1,dao,arena,0.1445,8,"30,47","28,44",3.828427,ablation_no_adapt,True,3.605551,0,4,0.0308,True
exp_v1,dao,arena,0.1445,8,"30,47","28,44",3.828427,ablation_no_smooth,True,3.828427,1,4,0.0600,True
exp_v1,dao,arena,0.1445,9,"46,45","43,44",3.414214,dijkstra,True,3.414214,1,22,0.1425,True
exp_v1,dao,arena,0.1445,9,"46,45","43,44",3.414214,astar_euclidean,True,3.414214,2,4,0.0318,True
exp_v1,dao,arena,0.1445,9,"46,45","43,44",3.414214,astar_octile,True,3.414214,1,4,0.0371,True
exp_v1,dao,arena,0.1445,9,"46,45","43,44",3.414214,weighted_1.2,True,3.414214,1,4,0.0353,True
exp_v1,dao,arena,0.1445,9,"46,45","43,44",3.414214,improved_ours,True,3.162278,0,4,0.0647,True
exp_v1,dao,arena,0.1445,9,"46,45","43,44",3.414214,ablation_no_adapt,True,3.162278,0,4,0.0364,True
exp_v1,dao,arena,0.1445,9,"46,45","43,44",3.414214,ablation_no_smooth,True,3.414214,1,4,0.0856,True
exp_v1,dao,arena,0.1445,10,"18,20","16,25",5.828427,dijkstra,True,5.828427,1,81,0.5215,True
