run_id,map_type,map_name,obstacle_ratio,task_id,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_longpath,dao,arena2,0.5860,4,362.053824,improved_ours,True,352.821065,15,14288,199.7080,True
exp_v1_longpath,dao,arena2,0.5860,4,362.053824,ablation_no_adapt,True,350.995626,13,18118,146.5926,True
exp_v1_longpath,dao,arena2,0.5860,4,362.053824,ablation_no_smooth,True,390.663997,90,14288,194.4782,True
exp_v1_longpath,dao,brc000d,0.5682,0,338.663997,astar_euclidean,True,338.663997,44,14002,107.2573,True
exp_v1_longpath,dao,brc000d,0.5682,0,338.663997,astar_octile,True,338.663997,44,12510,105.3891,True
exp_v1_longpath,dao,brc000d,0.5682,0,338.663997,weighted_1.2,True,342.303607,43,8079,75.6605,True
exp_v1_longpath,dao,brc000d,0.5682,0,338.663997,improved_ours,True,325.266764,19,7671,94.1143,True
exp_v1_longpath,dao,brc000d,0.5682,0,338.663997,ablation_no_adapt,True,323.919554,17,12510,107.1050,True
exp_v1_longpath,dao,brc000d,0.5682,0,338.663997,ablation_no_smooth,True,353.918831,89,7671,96.5143,True
exp_v1_longpath,dao,brc000d,0.5682,1,338.546248,astar_euclidean,True,338.546248,42,17922,127.9162,True
exp_v1_longpath,dao,brc000d,0.5682,1,338.546248,astar_octile,True,338.546248,43,17145,145.1625,True
exp_v1_longpath,dao,brc000d,0.5682,1,338.546248,weighted_1.2,True,338.546248,44,15618,133.3012,True
exp_v1_longpath,dao,brc000d,0.5682,1,338.546248,improved_ours,True,322.489183,18,15346,184.6694,True
exp_v1_longpath,dao,brc000d,0.5682,1,338.546248,ablation_no_adapt,True,323.029006,15,17145,145.7293,True
exp_v1_longpath,dao,brc000d,0.5682,1,338.546248,ablation_no_smooth,True,346.404112,70,15346,221.2019,True
exp_v1_longpath,dao,brc000d,0.5682,2,338.291414,astar_euclidean,True,338.291414,59,14035,101.9357,True
exp_v1_longpath,dao,brc000d,0.5682,2,338.291414,astar_octile,True,338.291414,43,12379,114.0271,True
exp_v1_longpath,dao,brc000d,0.5682,2,338.291414,weighted_1.2,True,343.931024,40,7607,93.9927,True
exp_v1_longpath,dao,brc000d,0.5682,2,338.291414,improved_ours,True,330.748092,18,6599,78.6470,True
exp_v1_longpath,dao,brc000d,0.5682,2,338.291414,ablation_no_adapt,True,324.731550,15,12379,99.9518,True
exp_v1_longpath,dao,brc000d,0.5682,2,338.291414,ablation_no_smooth,True,356.717821,82,6599,79.8559,True
exp_v1_longpath,dao,brc000d,0.5682,3,338.031529,astar_euclidean,True,338.031529,39,11170,86.0127,True
exp_v1_longpath,dao,brc000d,0.5682,3,338.031529,astar_octile,True,338.031529,43,9399,90.8645,True
exp_v1_longpath,dao,brc000d,0.5682,3,338.031529,weighted_1.2,True,338.859956,41,4187,34.8233,True
exp_v1_longpath,dao,brc000d,0.5682,3,338.031529,improved_ours,True,323.505149,17,4324,45.9232,True
exp_v1_longpath,dao,brc000d,0.5682,3,338.031529,ablation_no_adapt,True,323.688631,16,9399,83.5267,True
exp_v1_longpath,dao,brc000d,0.5682,3,338.031529,ablation_no_smooth,True,355.161472,86,4324,45.9667,True
exp_v1_longpath,dao,brc000d,0.5682,4,337.374675,astar_euclidean,True,337.374675,60,8888,62.8261,True
exp_v1_longpath,dao,brc000d,0.5682,4,337.374675,astar_octile,True,337.374675,43,7198,61.2356,True
exp_v1_longpath,dao,brc000d,0.5682,4,337.374675,weighted_1.2,True,344.646753,40,5331,38.5743,True
exp_v1_longpath,dao,brc000d,0.5682,4,337.374675,improved_ours,True,325.249142,16,4331,52.9983,True
exp_v1_longpath,dao,brc000d,0.5682,4,337.374675,ablation_no_adapt,True,323.642456,16,7198,54.9866,True
exp_v1_longpath,dao,brc000d,0.5682,4,337.374675,ablation_no_smooth,True,356.019336,87,4331,50.1697,True
exp_v1_longpath,dao,brc100d,0.8768,0,543.582828,astar_euclidean,True,543.582828,99,24108,207.6528,True
exp_v1_longpath,dao,brc100d,0.8768,0,543.582828,astar_octile,True,543.582828,89,23435,226.1493,True
exp_v1_longpath,dao,brc100d,0.8768,0,543.582828,weighted_1.2,True,543.582828,91,21958,200.4106,True
exp_v1_longpath,dao,brc100d,0.8768,0,543.582828,improved_ours,True,519.170535,23,21722,296.4824,True
exp_v1_longpath,dao,brc100d,0.8768,0,543.582828,ablation_no_adapt,True,518.160781,26,23435,225.9731,True
exp_v1_longpath,dao,brc100d,0.8768,0,543.582828,ablation_no_smooth,True,552.026479,111,21722,298.0653,True
exp_v1_longpath,dao,brc100d,0.8768,1,542.612265,astar_euclidean,True,542.612265,90,24102,180.8509,True
exp_v1_longpath,dao,brc100d,0.8768,1,542.612265,astar_octile,True,542.612265,88,23417,216.8771,True
exp_v1_longpath,dao,brc100d,0.8768,1,542.612265,weighted_1.2,True,543.440692,90,22021,205.3285,True
exp_v1_longpath,dao,brc100d,0.8768,1,542.612265,improved_ours,True,512.914062,22,21799,305.1994,True
exp_v1_longpath,dao,brc100d,0.8768,1,542.612265,ablation_no_adapt,True,513.727112,22,23417,212.1793,True
exp_v1_longpath,dao,brc100d,0.8768,1,542.612265,ablation_no_smooth,True,557.683333,154,21799,299.4264,True
exp_v1_longpath,dao,brc100d,0.8768,2,542.227489,astar_euclidean,True,542.227489,95,23534,186.5977,True
exp_v1_longpath,dao,brc100d,0.8768,2,542.227489,astar_octile,True,542.227489,72,23151,225.7440,True
exp_v1_longpath,dao,brc100d,0.8768,2,542.227489,weighted_1.2,True,547.825469,102,20758,196.6831,True
exp_v1_longpath,dao,brc100d,0.8768,2,542.227489,improved_ours,True,515.513963,23,20138,275.4273,True
exp_v1_longpath,dao,brc100d,0.8768,2,542.227489,ablation_no_adapt,True,514.165078,20,23151,215.8966,True
exp_v1_longpath,dao,brc100d,0.8768,2,542.227489,ablation_no_smooth,True,562.653896,149,20138,280.7156,True
exp_v1_longpath,dao,brc100d,0.8768,3,541.925974,astar_euclidean,True,541.925974,104,23196,175.3167,True
exp_v1_longpath,dao,brc100d,0.8768,3,541.925974,astar_octile,True,541.925974,82,22551,213.9455,True
exp_v1_longpath,dao,brc100d,0.8768,3,541.925974,weighted_1.2,True,546.068109,101,20791,194.4505,True
exp_v1_longpath,dao,brc100d,0.8768,3,541.925974,improved_ours,True,513.122774,21,20856,283.1155,True
exp_v1_longpath,dao,brc100d,0.8768,3,541.925974,ablation_no_adapt,True,515.983134,23,22551,209.2562,True
exp_v1_longpath,dao,brc100d,0.8768,3,541.925974,ablation_no_smooth,True,561.440692,145,20856,281.6815,True
exp_v1_longpath,dao,brc100d,0.8768,4,541.641702,astar_euclidean,True,541.641702,112,23089,175.2894,True
exp_v1_longpath,dao,brc100d,0.8768,4,541.641702,astar_octile,True,541.641702,71,22628,222.8968,True
exp_v1_longpath,dao,brc100d,0.8768,4,541.641702,weighted_1.2,True,549.097546,110,20131,198.2365,True
exp_v1_longpath,dao,brc100d,0.8768,4,541.641702,improved_ours,True,510.438716,20,19789,278.6813,True
exp_v1_longpath,dao,brc100d,0.8768,4,541.641702,ablation_no_adapt,True,511.245015,20,22628,215.8311,True
exp_v1_longpath,dao,brc100d,0.8768,4,541.641702,ablation_no_smooth,True,564.411255,157,19789,262.9727,True
exp_v1_longpath,dao,brc101d,0.8782,0,626.570634,astar_euclidean,True,626.570635,91,22023,183.7326,True
exp_v1_longpath,dao,brc101d,0.8782,0,626.570634,astar_octile,True,626.570635,87,19317,198.7331,True
exp_v1_longpath,dao,brc101d,0.8782,0,626.570634,weighted_1.2,True,630.712770,83,16500,184.6184,True
exp_v1_longpath,dao,brc101d,0.8782,0,626.570634,improved_ours,True,600.072052,26,16106,230.5177,True
exp_v1_longpath,dao,brc101d,0.8782,0,626.570634,ablation_no_adapt,True,601.345951,24,19317,219.5321,True
exp_v1_longpath,dao,brc101d,0.8782,0,626.570634,ablation_no_smooth,True,670.671140,178,16106,236.3337,True
exp_v1_longpath,dao,brc101d,0.8782,1,626.198051,astar_euclidean,True,626.198052,74,18160,134.7820,True
exp_v1_longpath,dao,brc101d,0.8782,1,626.198051,astar_octile,True,626.198052,78,17733,146.1618,True
exp_v1_longpath,dao,brc101d,0.8782,1,626.198051,weighted_1.2,True,637.796031,121,16717,160.8653,True
exp_v1_longpath,dao,brc101d,0.8782,1,626.198051,improved_ours,True,607.442539,29,16479,227.4669,True
exp_v1_longpath,dao,brc101d,0.8782,1,626.198051,ablation_no_adapt,True,599.411758,23,17733,137.7581,True
exp_v1_longpath,dao,brc101d,0.8782,1,626.198051,ablation_no_smooth,True,655.653896,177,16479,237.0652,True
exp_v1_longpath,dao,brc101d,0.8782,2,625.754401,astar_euclidean,True,625.754401,83,19013,136.0388,True
exp_v1_longpath,dao,brc101d,0.8782,2,625.754401,astar_octile,True,625.754401,79,18476,149.3845,True
exp_v1_longpath,dao,brc101d,0.8782,2,625.754401,weighted_1.2,True,633.210245,115,16546,145.8800,True
exp_v1_longpath,dao,brc101d,0.8782,2,625.754401,improved_ours,True,600.975378,28,16834,235.5351,True
exp_v1_longpath,dao,brc101d,0.8782,2,625.754401,ablation_no_adapt,True,606.082577,18,18476,146.2355,True
exp_v1_longpath,dao,brc101d,0.8782,2,625.754401,ablation_no_smooth,True,683.068109,188,16834,238.6365,True
exp_v1_longpath,dao,brc101d,0.8782,3,624.984848,astar_euclidean,True,624.984848,78,17490,126.8702,True
exp_v1_longpath,dao,brc101d,0.8782,3,624.984848,astar_octile,True,624.984848,79,17082,135.2195,True
exp_v1_longpath,dao,brc101d,0.8782,3,624.984848,weighted_1.2,True,634.097546,107,16245,166.7391,True
exp_v1_longpath,dao,brc101d,0.8782,3,624.984848,improved_ours,True,607.444413,29,15700,212.5757,True
exp_v1_longpath,dao,brc101d,0.8782,3,624.984848,ablation_no_adapt,True,598.453024,25,17082,134.8924,True
exp_v1_longpath,dao,brc101d,0.8782,3,624.984848,ablation_no_smooth,True,655.511760,178,15700,218.3004,True
exp_v1_longpath,dao,brc101d,0.8782,4,624.967604,astar_euclidean,True,624.967604,122,21633,159.4211,True
exp_v1_longpath,dao,brc101d,0.8782,4,624.967604,astar_octile,True,624.967604,85,19198,185.6938,True
exp_v1_longpath,dao,brc101d,0.8782,4,624.967604,weighted_1.2,True,624.967604,94,15713,147.1932,True
exp_v1_longpath,dao,brc101d,0.8782,4,624.967604,improved_ours,True,607.630198,29,16242,216.1633,True
exp_v1_longpath,dao,brc101d,0.8782,4,624.967604,ablation_no_adapt,True,598.113063,21,19198,175.4549,True
exp_v1_longpath,dao,brc101d,0.8782,4,624.967604,ablation_no_smooth,True,681.369624,209,16242,217.7789,True
exp_v1_longpath,street,Berlin_0_256,0.2653,0,371.629509,astar_euclidean,True,371.629509,84,17155,132.4240,True
exp_v1_longpath,street,Berlin_0_256,0.2653,0,371.629509,astar_octile,True,371.629509,44,9975,84.4732,True
exp_v1_longpath,street,Berlin_0_256,0.2653,0,371.629509,weighted_1.2,True,374.114790,17,5511,49.6677,True
exp_v1_longpath,street,Berlin_0_256,0.2653,0,371.629509,improved_ours,True,353.996554,7,4371,61.6931,True
exp_v1_longpath,street,Berlin_0_256,0.2653,0,371.629509,ablation_no_adapt,True,353.912796,5,9975,81.6308,True
exp_v1_longpath,street,Berlin_0_256,0.2653,0,371.629509,ablation_no_smooth,True,390.658946,69,4371,54.6212,True
exp_v1_longpath,street,Berlin_0_256,0.2653,1,371.144228,astar_euclidean,True,371.144228,86,17992,141.2598,True
exp_v1_longpath,street,Berlin_0_256,0.2653,1,371.144228,astar_octile,True,371.144228,40,10525,94.0689,True
exp_v1_longpath,street,Berlin_0_256,0.2653,1,371.144228,weighted_1.2,True,409.185858,73,10657,99.7729,True
exp_v1_longpath,street,Berlin_0_256,0.2653,1,371.144228,improved_ours,True,352.481181,5,9532,128.4663,True
exp_v1_longpath,street,Berlin_0_256,0.2653,1,371.144228,ablation_no_adapt,True,352.074874,4,10525,91.2187,True
exp_v1_longpath,street,Berlin_0_256,0.2653,1,371.144228,ablation_no_smooth,True,390.073160,71,9532,127.3411,True
