map_name,obs,avg_opt,beta,oct_exp,res_exp,exp_reduction_pct,oct_pl,res_pl,pl_increase_pct
orz100d,0.3878,294.6,0.1,11957.3,10227.85,14.463549463507642,294.64648250315713,298.8246570962092,1.4180296868153919
orz100d,0.3878,294.6,0.2,11957.3,9109.6,23.81557709516362,294.64648250315713,303.4802920148196,2.9981045205818235
orz100d,0.3878,294.6,0.3,11957.3,8269.2,30.84391961395966,294.64648250315713,307.98739879600623,4.527770424921385
orz100d,0.3878,294.6,0.4,11957.3,7946.3,33.544362021526595,294.64648250315713,312.75724727698974,6.146608172605128
orz100d,0.3878,294.6,0.5,11957.3,7673.65,35.82455905597417,294.64648250315713,316.77648609253225,7.510696683486784
Moscow_0_512,0.2502,223.4,0.1,5671.35,2101.75,62.940922355347496,223.35140315427356,227.25089809088522,1.7459012486786163
Moscow_0_512,0.2502,223.4,0.2,5671.35,1573.75,72.25087501212232,223.35140315427356,231.33409793710672,3.5740517722735454
Moscow_0_512,0.2502,223.4,0.3,5671.35,1312.45,76.85824362806034,223.35140315427356,234.23948032402296,4.874864010694746
Moscow_0_512,0.2502,223.4,0.4,5671.35,1223.75,78.42224514445415,223.35140315427356,236.74069965490497,5.994722357478599
Moscow_0_512,0.2502,223.4,0.5,5671.35,1140.8,79.88485986581678,223.35140315427356,239.17415203282061,7.084239747362564
bloodvenomfalls,0.5573,192.7,0.1,4831.85,3457.4,28.445626416382964,192.69215357060597,195.77829714197975,1.6015927551730647
bloodvenomfalls,0.5573,192.7,0.2,4831.85,2580.6,46.59188509577078,192.69215357060597,198.65941546018408,3.096785094257415
bloodvenomfalls,0.5573,192.7,0.3,4831.85,2354.65,51.268147810879896,192.69215357060597,203.38576105691317,5.549581178140128
bloodvenomfalls,0.5573,192.7,0.4,4831.85,2091.6,56.712232374763296,192.69215357060597,205.7121066536422,6.756867283786661
bloodvenomfalls,0.5573,192.7,0.5,4831.85,1910.95,60.45096598611298,192.69215357060597,209.43637072235416,8.689620641772944
brc503d,0.1810,192.0,0.1,3983.0,2585.15,35.09540547326135,192.04118677141818,194.27377695219872,1.1625580003512104
brc503d,0.1810,192.0,0.2,3983.0,2266.35,43.099422545819735,192.04118677141818,197.8477884892165,3.0236231172169115
brc503d,0.1810,192.0,0.3,3983.0,2061.25,48.248807431584225,192.04118677141818,200.70256121069173,4.5101650249552705
brc503d,0.1810,192.0,0.4,3983.0,1872.9,52.977655033894045,192.04118677141818,203.46652224137068,5.949419320945881
brc503d,0.1810,192.0,0.5,3983.0,1589.9,60.08285212151645,192.04118677141818,207.21332598452423,7.900461077219378
battleground,0.6480,163.7,0.1,2860.3,1814.9,36.548613781771145,163.69534982745233,165.11875169902916,0.8695432540247516
battleground,0.6480,163.7,0.2,2860.3,1531.0,46.4741460685942,163.69534982745233,166.33296526140225,1.6112952730362728
battleground,0.6480,163.7,0.3,2860.3,1323.2,53.73911827430688,163.69534982745233,168.32499628308054,2.8282089017850565
battleground,0.6480,163.7,0.4,2860.3,1195.7,58.19669265461664,163.69534982745233,169.81997102991113,3.7414753741719764
battleground,0.6480,163.7,0.5,2860.3,1103.0,61.43761143935951,163.69534982745233,170.73920984545367,4.303030003861519
