map_name,algorithm,n,path_length_mean,path_length_std,turn_count_mean,turn_count_std,expanded_mean,expanded_std,runtime_mean,runtime_std,success_rate,collision_free_rate
Berlin_0_1024,ablation_no_adapt,50,9.771281859999998,5.584089019237712,0.0,0.0,21.52,22.66913319913225,0.19930799999999999,0.19183215459354044,1.0,1.0
Berlin_0_1024,ablation_no_smooth,50,10.32288462,6.000321133379355,0.74,0.4386342439892262,9.84,5.307956292208895,0.18132199999999998,0.09772124086400048,1.0,1.0
Berlin_0_1024,astar_euclidean,50,10.32288462,6.000321133379355,3.54,3.8011051024669134,29.12,29.25586436938755,0.254052,0.2700489364837418,1.0,1.0
Berlin_0_1024,astar_octile,50,10.32288462,6.000321133379355,1.48,1.345213737664019,21.52,22.66913319913225,0.20126199999999997,0.20064848455944043,1.0,1.0
Berlin_0_1024,dijkstra,50,10.32288462,6.000321133379355,1.5,1.284523257866513,397.6,361.1851048977519,3.0582300000000004,3.0703767449777235,1.0,1.0
Berlin_0_1024,improved_ours,50,9.771281859999998,5.584089019237712,0.0,0.0,9.84,5.307956292208895,0.19485,0.10074720492400768,1.0,1.0
Berlin_0_1024,weighted_1.2,50,10.32288462,6.000321133379355,0.74,0.4386342439892262,9.84,5.307956292208895,0.10558,0.05987919839142805,1.0,1.0
Berlin_0_256,ablation_no_adapt,50,9.55362328,5.180734778950615,0.04,0.19595917942265428,15.98,14.931162044529554,0.15638,0.14618886551307525,1.0,1.0
Berlin_0_256,ablation_no_smooth,50,10.03009248,5.405428558400994,0.92,0.6584831053261732,9.98,5.00995009955189,0.33196400000000004,1.127761124486919,1.0,1.0
Berlin_0_256,astar_euclidean,50,10.01352394,5.387600903188243,2.5,2.137755832643195,21.08,19.050291336354938,0.184496,0.17779682782322076,1.0,1.0
Berlin_0_256,astar_octile,50,10.01352394,5.387600903188243,1.48,1.252836781069266,15.98,14.931162044529554,0.168224,0.16339749883030646,1.0,1.0
Berlin_0_256,dijkstra,50,10.01352394,5.387600903188243,1.28,0.9806120537705009,330.04,297.2739450405972,2.1954819999999997,2.066108849474296,1.0,1.0
Berlin_0_256,improved_ours,50,9.55362328,5.180734778950615,0.04,0.19595917942265428,9.98,5.00995009955189,0.17775399999999997,0.09372960943053162,1.0,1.0
Berlin_0_256,weighted_1.2,50,10.03009248,5.405428558400994,0.9,0.6403124237432849,9.94,4.945341242017582,0.102622,0.058744965026800385,1.0,1.0
Berlin_0_512,ablation_no_adapt,50,9.50456754,5.5482607343376795,0.0,0.0,20.4,20.91889098398861,0.186162,0.17417298629810538,1.0,1.0
Berlin_0_512,ablation_no_smooth,50,10.016021700000001,5.87802679699536,0.8,0.4,9.58,5.196498821321909,0.16630399999999998,0.09054560609990968,1.0,1.0
Berlin_0_512,astar_euclidean,50,10.016021700000001,5.87802679699536,3.34,3.5418074481823543,26.26,26.50344128599152,0.20894,0.19930628790883642,1.0,1.0
Berlin_0_512,astar_octile,50,10.016021700000001,5.87802679699536,1.46,1.3146862743635837,20.4,20.91889098398861,0.18677999999999997,0.17805260458639746,1.0,1.0
Berlin_0_512,dijkstra,50,10.016021700000001,5.87802679699536,1.34,1.050904372433572,353.72,336.89019219917935,2.5976440000000003,2.5329026065097726,1.0,1.0
Berlin_0_512,improved_ours,50,9.50456754,5.5482607343376795,0.0,0.0,9.58,5.196498821321909,0.176542,0.0948028777833247,1.0,1.0
Berlin_0_512,weighted_1.2,50,10.016021700000001,5.87802679699536,0.8,0.4,9.5,5.080354318352215,0.10122599999999998,0.05882423585564032,1.0,1.0
